system:index,APMean,APMean_1,Area_km2,CCSNAME,CCSNAME_1,CCSUID,CCSUID_1,CCSUID_12,CDNAME,CDNAME_1,CDTYPE,CDTYPE_1,CDUID,CDUID_1,CDUID_12,CMANAME,CMANAME_1,CMAPUID,CMAPUID_1,CMATYPE,CMATYPE_1,CMAUID,CMAUID_1,CMAUID_12,CSDNAME,CSDNAME_1,CSDTYPE,CSDTYPE_1,CSDUID,CSDUID_1,CSDUID_12,CTNAME,CTNAME_1,CTUID,CTUID_1,CTUID_12,DAUID,DAUID_1,DAUID_12,ERNAME,ERNAME_1,ERUID,ERUID_1,ERUID_12,FID_Munici,FID_gda_00,FULL_NAME,MUN_NAME,OBJECTID,PRNAME,PRNAME_1,PRUID,PRUID_1,PRUID_12,REG_NAME,SACCODE,SACCODE_1,SACTYPE,SACTYPE_1,SHAPE_Leng,Shape_Area,Shape_Le_1,geometry,geometry_1,mean,.geo
0000000000000000000b,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Mono,,T,,3522012,0,0,0593.00,0.0,5350593.00,0.0,0.0,35220148,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,23039,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,5895.33561657,2302.69972582,,,0.3416160736405215,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Mono,,T,,3522012,0,0,0593.00,0.0,5350593.00,0.0,0.0,35220082,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,23959,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,4555.53174944,1398.85889778,,,0.27327243299504866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Mono,,T,,3522012,0,0,0593.00,0.0,5350593.00,0.0,0.0,35220147,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,28718,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,1038.7844907,1101.91213345,,,0.3401709937051768,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f0,0.0,0.0,292.386251793,Oakville,,3524001,0,0,Halton,,RM,,3524,0,0,Toronto,,35535,0,B,,535,0,0,Oakville,,T,,3524001,0,0,0600.01,0.0,5350600.01,0.0,0.0,35240202,0,0,Toronto,,3530,0,0,2,23991,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,717.713304045,269.755395731,,,0.29865284974093265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042c,0.0,0.0,292.386251793,Oakville,,3524001,0,0,Halton,,RM,,3524,0,0,Toronto,,35535,0,B,,535,0,0,Oakville,,T,,3524001,0,0,0600.01,0.0,5350600.01,0.0,0.0,35240147,0,0,Toronto,,3530,0,0,2,24474,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,6784.96862711,4285.18131419,,,0.25659637169008503,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d6,0.0,0.0,292.386251793,Oakville,,3524001,0,0,Halton,,RM,,3524,0,0,Toronto,,35535,0,B,,535,0,0,Oakville,,T,,3524001,0,0,0600.02,0.0,5350600.02,0.0,0.0,35240157,0,0,Toronto,,3530,0,0,2,23814,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,8599.17650331,1878.30824008,,,0.21160061276098685,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042e,0.0,0.0,292.386251793,Oakville,,3524001,0,0,Halton,,RM,,3524,0,0,Toronto,,35535,0,B,,535,0,0,Oakville,,T,,3524001,0,0,0600.02,0.0,5350600.02,0.0,0.0,35240161,0,0,Toronto,,3530,0,0,2,24494,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,1119.53514632,3212.53001689,,,0.20074631585604957,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000036e,0.0,0.0,292.386251793,Oakville,,3524001,0,0,Halton,,RM,,3524,0,0,Toronto,,35535,0,B,,535,0,0,Oakville,,T,,3524001,0,0,0612.10,0.0,5350612.10,0.0,0.0,35240760,0,0,Toronto,,3530,0,0,2,23013,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,50900.3948358,9550.55891447,,,0.1459682304203869,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000617,0.0,0.0,292.386251793,Oakville,,3524001,0,0,Halton,,RM,,3524,0,0,Toronto,,35535,0,B,,535,0,0,Oakville,,T,,3524001,0,0,0615.00,0.0,5350615.00,0.0,0.0,35240720,0,0,Toronto,,3530,0,0,2,27888,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,8381.29111979,794.457992835,,,0.18351070219085652,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac,0.0,0.0,292.386251793,Milton,,3524009,0,0,Halton,,RM,,3524,0,0,Toronto,,35535,0,B,,535,0,0,Milton,,T,,3524009,0,0,0620.04,0.0,5350620.04,0.0,0.0,35240731,0,0,Toronto,,3530,0,0,2,23525,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,277566.138382,23959.1759756,,,0.23283877410023296,"{""type"":""MultiPoint"",""coordinates"":[]}"
